149,261649,437413	149,261649,437413,8924
525688	548086,548088
466674,53013	465970
70814	47588,70814,70815
470936,470937,61578,8385	31957,454602
24937,67961	14
1139098	135124,260104,473121
660338	395094,471372
134008,200729	134008,200729
471616,9109	1353381,1353382,517705,536351
261741,465517,645899	395094,465572
471555,547892	4333,466981
147569	191379,44383,8703
280263,466307	105728,470972,559273
315809	507276,8585,8813
206849,65632,710266	389034,8765
213832	373150,667364
479351,479353	20751,20753
556031	437405,556031
238571,61380	142173,359224,359225,359226,359227,359228
378317	471053,79041
1164285,437413,465160,470905	479613
58888	1503445,502724,843668
105728,15420,157729,191088	1353077,1353078,392363,4333,471159
35073,471524	1145,705773
143060,397162,467315,470925,471471	64960,705678
1140535	8855
121506,309074	47485
1139101,1139102,8906	256886,517677
444625,453075	444625,453075
232156,327037,466981	200729,291414
427281,427282	15763
454010	272376
466210	157941,227827,331052,47635
268969,67878,7542	272756,506849
258522	134009,291414,8703
1339410,9075	471388,8595
4884,65294	354840
1172542,1172543,134343,240768,395094,465572	228166
1142206	988846
485287	164346,228166,237044,33073,352694,471376,61479,64960,8426,8765,8855,8938
64710,7788	84166
136609,867888	136609,193296
452990,547660	452990,547660
1172542,1172543,134343,240768,395094,465572	192768,228166
471029	259624,279857,471065,471066,471280
506901,6780	15420,200201
1452759,8906	65625,8426,8855
232156,4333	1353077,1353078,392363,4333,471159
146829	9044
47574	176681
466507,4951	232330
467850,471392,471662,471664,471665	471392,471662,471667
443452	1019835,1019836,134343,443452,471000,471681,473883,479498,517870,545424
373221,4324,471250	443391
1690700,502842	8873,9065,9300
163310,484440	1333,384594
14522,18376,48675	18376,48675
31951,453032	517615,517844
1141221,703805	236223,252969
48749,654519	1064291,48749
120324	272376
397886,454756,471664	110401,180435,429265
1172473,76527	1556327,243673,268969,76527
1138987,65632,680497	1439,20753,65629,65632
1036284,243633,381926	155758,8781,891409
8585	84166
163740,210087	150581,471059
47691	9044
1078495,155079	9300
471717,47489	259859,456394,536743
381878	240738,381918,434319,4613
1021771	120368,471671
1400620,31957	471059,507436
8385,8781	128430,3821
397162,78676	1149074,242937
471142,9070	261128,705675
1068246,794554	138088,1556179
247545,466980	4333,466981
113323,477999,965227	359192,542834
1028708	1020545,227146
151846,155079	62361,62362
127660,451919	115512,228166
164308,359225,537467,73,8873	236223,252969
129250,15441,15446,163823	261595
14758,160194	1076337,160194,24156
105971,1095074,154637,466307	1577,246903
165943,359191,359192,359193,382826,517742,542833,542834,928380	359192,542834
232172,353599	20753,65632
623727	379313
341208,384832	289497,452152,506736
471061,488933	8938
419516	417326,49646
155758,471676,8781	155758,368178,471676,8781
331022,375078,479322	852668
312494,97331	1232,1236
4333	4333
437413,487528,79430	302988
468510	1577,466247
103368	4333,466981
15611,260095	20753,241342
23992	502724,57,7779
1172767	8585
378317,794495	1175545,171660
129476	129320,190879
64575	1307885
261649,471088,8426	147833,4317,471266
450774,450775	450775,471638
667483	282333
28192	647982
45271,517674,517675	16718,17765
340147,5347	467586
8906,960833	338577,419378
465296,8906	1021001,1353079
689310,80688	256894
52942	4333,64575,964881
3961	129320,190879
67961	147569,536426
147833	468556,517680
236223,359057	340364,517704
1360503	1251618,1251619,1360503
245435,32368	736625
340472,506745,8906	191309
378289	1676,22443,529732
359192,464937	517799
9065	154636,23973
1322717,1322719,451671,479490,847353,989132	454904
484053	223400,484053
134343,378317	378317
138044	1556416
311852,470944	302988,517662,517663
1175483,450775,471638,679540	155271,232167,453006,471638,679540
24937,67961	534440
470981	1240033,4358,792736,9065
244649	147833,470936
381926,471455,537764	16657,471136
1172472,290990,388880	181719,466117
467587	218640,46802
468947	467582,547870
207882,465327,59219	1200002
148734,182221,470986	103336,232172,437405
159514,1736655,1736656,810619	232338,453002,8855,8954
62186,62242	191323,199207,80636
143060	8426
261648,368178,4358	298086,705718,81169,8945
1009007,92641	453215,466825,8807
237567	1453221
1353077,1353078,392363,4333,471159	154637,180910,645226
103336,437405	1064301,8585
1028225	103336,232172,437405
126190,1452779,1452811,353688,427936,448950	126190,326196,353688
206281,322156,434347,8488	206281,8488
1353358,471087	124240,1690701,454796
471595,517816	1172648,751069
272376,311992,66170	289497,452152,506736
537279,67961	8873
378317	134343,378317
48666,517859	434487,8585
182221,470986	103336,232172,437405
153380,61380,964865	123623,153380,327037,338577,767786
534565,9300	471140,673280
120368,288884,471674,890969	251403,452994,9070
119273,471037,48675,9065	119273,1220142,1554310,1554311,416941,571127,682059
1154436,325868,356134,356648,466424,672391,8855	8855
150658,62242	115512,466981
397162	397162,411369
147184,240784,264226,384782,5624,750296	115512,466981
471140,673280,9300	7765
464948	247545,4333,466980,466981,474220,517641,517642,517700,517701
304154	147053,20749,411369
466939,506727	466939,506727,517762
179665,242257,9062	8945
141080,466325	486642,988718
470957	155758,232162,322156,8781
309213	309213
185274,386267	185274,386267
211853	1064276,517750
268969,280195,67878,9300	8709,9031
384832,517765,517766	4358,467928,471032,471378
157842,28067	4333,466981,479585
1240033,386267,667311,867892	1240033,386267,667311,856247,867892
537171,65629,65632	1439,159264,241342,537171
9300	157842,28067
772631	1353549,465160,544393
1021596,92641	489077,8781
470957	233547,45472,471309
536784	649254
471392,471662	4333,466981
127660,479400,772390	130470,949281
1064358,242257,705673,8945	1064358,242257,705673,8945
4358,470949	4358,470949
124240	1063982,340472,395094
122661,211853	354840
472977,847492	472977,59400,6446
10826,47489	47489
247640,359192	133807,293721
247545,716999	247545,35073
124240	471325,471326,471327
1448665,466070	66129
220112	309122
884427	1240018,471431,9070,989266
1078259,245435	245435,32368,685504
83899	1145,232172,421964
286667,443391	165878,443391,471419
1187119,35102,611688	258872,258874
237061,988695	354174,4498
37514,8703	226835,8426,8855
1690856,1690857,8906	474220,517870,517871,8906
506968	1205136
8781	451058,74589
451528	151177,454773,9119
1120099,1141612	31951,59929
44383,503645,8703	210166,44383
4358,467928,471032,471378	517649
134009,278829,291414,76846	129505,134009,278829,291414,4615,76846
705719,81172	705719,81172
128430,46802	128430,46802
232156,466981	1577,467044
1064271,467299	1145,4358
315809	452855
1027103,8807	1027103,8807
3443,354292,569613	200728,200729,3443,451058
128430,309768,453017	128430,453017
1313695,1313808,1313809	1485568,1556266,1556267,1556268,1556269,1556270,166599,907641
353599	4333,466981,479585
8807	175140,283823
255438,517813	1453340,572202,647216
124906,1360473,163740,264575	163740,61549
988946	120368
484726	154637
302869,479802	434536,94154
1101789,247545	32436
736338,970206	117811,195386,195473
70814	242257,726968
247545,466980	247545,4333,466980,466981,474220,517641,517642,517700,517701
471100,668401	143060,467504
152304	437405,471595,9109
178056,27958	4507,704612
479704	24154,24155,24156,484465
4333,466981	4772
479607	167644
242937	242937,794166
510946	103336,232172,437405
374955,473617	8585,8813,9059
465239,570222	438570
1064010,254039,437379	1064010,254039,437379
17623	66129
210157,22633	160549,22633,283560,528088
411369	74366
148,164346	148,164346,261749
395094,471372	4197,8765
48940	1063884,247611
314723,736748,9065	134343,378317
1063958,279858,8938	191374
469161	398986,469161
103336,437405	129505,134009
3562,81172	260104,395233,8595
473821,537467,73	148002,148004
567349,621786	8426
1085392,15095	126190,1452779,1452811,353688,427936,448950
485101,56347	2129,40887,875296
409428,409440,522466,697736,910572	686367
147833,266303,470922	147833,471266
134343,378317	471053,79041
24380,535756,64671,66390	12210,192821,503193,980454
247545,35073	8585
645858	517649
1020699,468452	1204544,64575
968996	1064358,242257,705718,8945
187887,208296,237043,465999	212627,354174,466330,570171,977914
1557597,84166	84166
1119404,291225,427281,427282	427281,471397,705793,8595
454289,470922,471563,8873	157538,28031,51335
466981,517642	9108
57,7779	471061
65625	374955,473617
1163723	46802
1386563,471312	471312
272376,4306	4306,470957
470971,8873	535656,65632
178065,1849	345365,374973,465517,81172
66129,8676	305157,8509
468145	232172,386267
471088,8426,8876	471088,8876
8426,8855	1353237,302208,470981,471039,845728
1119358,476901,852620	1076347,14758
483761,8509	122388,483761,8509
468846	1386575,155048,158202,272376,302166,705693,8906
1021322,302875,465668,479700	465668,465670
853118	1556353,853118,853119
8397	8397
437442,471562	437442
105728,157729,340023,340190,340573,736927	105728,157729
171660,263647	171660,466978
359057,5341,608105	129227,329766
465472,465988,8873	467964,479338
156144,1577,466247	261649,437413,8924
165590,304929,8703	191379,44383,8703
147833,467582	218630
429728,465472,8873	517612,7214,79879
123623,52896	1452985,1452986
1572979,384357	341208,449616,466131
9240	409428,409440,522466,697736,910572
471717,47489	129505,134009,291414,4615
8385	155758,8385,8781
123623,148914,153380,327037,384610	260104,395233,8595
163740,40947	191379
268969,4680	130470,517869
1068305,305157	305157,8509
471061	4358,705729
142173,359224,359225,359226,359227	479431
471715	379313,471616,8873
414703,74748	115512,466981
261128	261128,471366
103336,437405	103336,517652
1353267,1353268	1353543,506968
124240	1166,368661,387961,86543
384610,404648	24937,67961,686528
198302,367970,449615,449616	198302,367970
993124	1149074,242937
359316,61380,67125	142173,359224,359226,359227
535656,65632	261649,437413,471721
1439,65629,65632	1439,65629,65632
1556239,467590,59635,66122	59635,66122
468134	64960,705691
24602,24902,535700,85953	240263
228108,228201,94352	1221607,1492852,1556251,1556252
471087	1577,254134
147833,4307	147833,4307
157842	517682
286667	1240037
147569	357411
124240,467579,467586	32436
120368,989111	309588
1120193,1120194,1120195,1120196,603115	4306,8595
130658	130658
8906	260116,465711,736148
427889,466798,468423	556153
350547	350547
411369	156217
467059,471074	232156,736354
140790,876966	105278
33153,94476	8585
4306,470957	226835,23944,532292,8855,8954
336504,479323	155239
111893,191241,66584	105001,81143
240711,66129,998276	451668
1138984,1314049	467098
1163679	517615,517844
286619,471384,517626	120368,471671
1064301	48666,517859,517860
47691	113813,361105,705642,705643
471088,471252,47489,8876	1172659,1284037,305159
48749	3443
129597,465871	1319762,305132,8595
147833,471161,9108	4337,472962
340101,468221,736510,876753	468221
471100,569613	251403,9070
36707	1020545,227146
4772	153916,471090,68011,8936
305159,8585,8813	4317,47489
187606,53014,569403,78900	1027495,1223943,680389
124906,163740,264575	471059,507436
397162,471419	1145,232172,421964
75611	18047,357397
1140725,408536	1283903
236223,359057	289497,452152
569060,569061,749970	302208,471039
8385,8781	155758,8385,8781
340418,437853,449209,465926	232172,386267
258522,4333,465160,465296,467582,471087,8781,8906	1078138,998276
237288,465668	852668
255438,466981,517813	218640,46802
1035061,1438518,503425	92666
171627	325452,35073,655468,667387
165878,443391,471419	705797,71608
338567,860106,860107	1435620,1549954,310820,310821
239589,37514,411360	1078309,279089,437379
470876	8873,9300
14631,28176,47485	276115,289480,379224
206678,466981	127,206678
502724,57,7779	147833,216368,56884,687581
993124	453075
161719,471217,66129	148,164346
1439,65629,65632	154636,16259
1251678,479607,556120	191309
1737299	451854,845728
453047,556153	471140
603393	191323,199207,80636
471003,64575	569080
555974	466868
277842	470924,470925
443391,471222,9108	471222,9108
123623,153380,327037	33560,4337
128430,46802	156144,467059,471008
276871,507530,92641	276871,9095,92641
3641,471160,8906	1064271,1064272,1064273,467299,467928,470974,470975,66129,8385
1078587,59221	471470,62186
466705	400465,53014
974291	302988
469002	1009081,220879
470925,61479	471471,473922,4850
128430,46802	128430,453017
471163	115512,466981
1142036	340147,69360
471392,471662,471667	468395
1477317	428051
453016,466981	1064300,1064301,8585
124906,163740,1690674,210087	452137,8855
175140	1172520,1248446,170270,35072
1139020,453016	259859,456394,536743
4850	374955,473617
1452759,8906	374955,473617
479428	1240020,411360
479514	465668,465670
598084	182221,20746
466978,5341	466978
466507,4951	354840
4333,466981	21134,340472
165878,560058	165878,443391,471419
84166	122664,6801
427281	468556,517680
8488	9300
1353107,8855	367677,8855
388880,4324,471217,471352	699334,8709,8873
1430608,451853,891296	14758,517655
150224,240738,4333	411369
1313562,304988	48666,517859
359192	3443,4613,4621
1240014,157491,337162,44314,471671,569069	1240014,157491
143060,8426	454904
378317	31951,705676
465517,487527,81172	359238,8385,9070
517718	471616
340147,471556,5347	302988
1020545,227146	129911,232321,489846
1142036	134343,473883,479498
285889	449617
1313867,1313868,1313869,381638,68412	1064176
359192,703962	703963
1078138,536743	236223,291414,93506
535574	24608
1064301,8585	340563,471470,62242
340011,466978	138088,466978,517635
356313,465160,467585,467591	147833,236223
233547,81639	1556046,342789
115512,259859,66129	339343,4613,48687
355963	355963
237043,545735,67881,736721	1020545,227146
206678,517778	147833,470936
989232	1556246
468792,468793,468794,468795,468796	547873
545603	228064,7920
1141803,467098	200729,291414
328634	132179,569613,64575
48747,735982	48675
1064010,254039,437379	1078125,1453093,254039
421933,965248	150054
471616,9109	388880,471217,471616
256770,492545	492545
484070	471493,471584
178056,27958	479613
359192,542834	359192,542834
1064273,467299,468357,471562	338577,419378
1078125,1430589,254039	1078125,254039,291414
11355,92666	92666
1285168,160963,517855	160657,230820,254179,29959,4850,537327
198506,44413	4613,517834
470984	122664,6801
1101876,47618	8873
105728,157729,340023,340190,340573,736927	236223,303108
1124331,517835	465296,8906
147833,434361,471267	141498,355325,78676,90589
120368,443391	8906
689040	689040
1021680,1095184,1211540	34481
296625,3715,422427	468556,517680
534746,663912	705797,71608
384464,465327	1596239,1596240
130715,164048,556006	471140
157636,388486	92666
64710,772169	437405
1139122,1139123	470925,61479
1047224,465633	1549085,335168,529828
454904	962906
537467,73	205853,232279,471633
476927	32436,8855
615294	1064148,451514,62390
166835,48762,74426	213483,48762,74426,888287,962740
264365,5321	307690
34481,983152	210087,4814,676424,676425,676426
236828,465711	143060,155758,8781
437462,9017	103336,9017
324206,355963,602966	195386,195473
471717,47489	261128,471366
660338	4613
422018	1020545,227146
411360,536982	1078309,279089,437379
736487	166599,83050
535656,65632	8873
471573	1353259,471716
235600,246839	22633
470957	4306,470957,74227
471477	1283903
33560,4337	1356,471051,471052
8703	44383,8703
311852	232172,437405
517733	517733
470986,470987	17919,465913,467104
149,261649,261749	148,261649,261749
333096,471360	1034882,304081,711117
192791,253150	339072
451668	429728,8765
8906	179028,32770,471003
298333,31951,471485	1407257,298333,303285,31951,404355,791932,792069
469161,9044	1241836,1453424,236223,469161
147833,352694	4333,466981,479585
84166	340563,471470,62242
468424	1064143,149616
338003,4462	1221,354759
159264,411369	20757,8378
20757	232172
291414,8703	470872,517802
132963,191178,314723,736748,9065	1166,368661,387961,86543
14758	471312
237288,395385	105001,81143
285889,735870	465236,48675
143060,467504	1283896,200152
123623,338577	1063957,1405,1452849
152938,355325,78676	226902,354047
1138875,9044	517853,8385,8781
473821	28067,673280
363022,394476,44396	44383,503645,8703
454289,4872	28,290990
288884,471674	1438
1078762,1078763,158359,7644	256894
177100	177100
256886	8873,9065,9300
1138893	4850
232350,680141,752984,784250	17919,465913,467104
479466	465668,465670
470873,484461,517795,517796	484780
232156,467059,471009,79041	92666
261745,3257,479650	336504,6465
1430620	1124313,471007,679417
47462	429728,465472,8873
8397,8512	261759,4850,50923
4772	31610
1172617,467928	4772
369687	449616,466131
32436	386267,517744
147833	437413,452951
22213,22593,22594,262265	154636,23973
261648,4358	1283896,200152
280263	105728,157729
467928,66129	66129
1737280	1353077,1353078,392363,4333,471159
1352783,314723	39583,64429,8807
453006,471376	164346,471376
176325,228897	251818
421933,736009	1353472,467928
129200,351020	1064391,69436
1172792	15122,460897,471359,8807,983808
26595,59296	232330
397162,411369	191309
236223,246839	105728,645226
26581	165117
156887,3443	238156
451825,48665,48666,94309	291443,48665,94309
1353519	1139198,1353519
479583,615941	70768,980588
495606	243673,81205
703876,703877	380213,45970,471223
277493	305157,8509
1204553	517828,53013
8906	8906
45473	45473
492034,535274,535275	1064249,206214
155079	141070,8457,8466
361104,559269	1353225,303285
1325199,475721,479498	1596102,309044,971076
230699,381982,384449,468681,736905,736906,736907,736908,736909,736910	1284066,209961,467504
1021838,1084489,274845,56864	465668,465670
340029,615376	1126741,1503418,274240
309588	29090
555963	277350,534962
1064273,467299,468357,471562	8595
17151,673236	191265,191462
7745	736338,970206
1063933,66129	488636,66129
142173,359224,359225,359226,359227,964885	1021066,1448853,1556391,311873,468681,793273
465296,8906	517753
1353611,380213,452988,471223	1240009,452988,471223
1178491,119273,1554424,816502,9065	119273,471037,48675,9065
467586	466978
286619,471384	1100402,286619,471384,517626
115512,466981	489077,8781
47489,8876	3791,4337
153916,261713	342199,430005,89709
465296,8906	286667,443391
1145,1353606,4358	368178,4358
536071	517730,517731
178617,455770	232172,470955
256811,44471,59171	160657,4850,8983
1336677,1336678,1336679	466981,517642
258522	517856,59733,83050
293104,737025	129346,1556199,20559
92666	276871,92641
467315	481088,517729,64887,93500
207943,64812,7927	167644,471601,471602,471603,8855
456376,479449	153549
198246,517686	452992,467590,85053
148,164346	148,164346
452982,467579	471384,517656
268969,280195,67878	154637,180910,645226
517682	437462,9017
28067,517769,65625	309213
230820,471140,555987	437405,555987
126170,1353585,8855	8398,8924
261779,468635,75611	1339410,9075
184135,736223	122460
1690915,792005,892804,892805,894162	467299,8385,8595
164807	167644
65181	378289
492331,922662	443391,668830,9108
359225,359227,369245,474226,502775,772052,78733,964885,964886	147833,429726
454411,535218,65181	8873
120324	517714,517715
291696,65625	291696,65625
469194,6446	185274,386267
1163635,547455	157981
381843	465707,469618,517757
48749	547802
128430,20745	128430,20745
147833,260846,359246,465674,465675,465676	1027594,260846,359246,465677,548098
1101750,47618	47618
479585	469152,517665,793639
124906,163740,264575	124906,163740,210087,264575
268969,67878	1438
163740,40947,452036	163740,61549
153651	1057043,70820
1322950	1556419
116102	147569,536426
156474,485222,8818	105278
469161,8873	357429,37514,8703
569167	232172,353599
1138984,1314049	1690725
4306	4333,466981,479585
14758	286667,443391
105728,105729,1154392,645226	105728,105729,74650
354557,382849,594209,621926	417326,49646
479322	153549
279858,429557	242257,890048
1064301	48666,517859
467727	8906
473674	110207,7779
340214	905914
239207	378289
147833	153916
147833,149697,434361,471266,471267,47489	149697
246839,556031	9300
272376	124240
517610	13620,517750,735795
103336,437405	357429,37514,8703
264230,369124	8906
1163694	471179,47488,8906
8397,9300	388880,4324
292240,352694	1453053,292240,352694
166748,535198	471140
1010295,467590,482536,59635,66122	1556239,467590,59635,66122
309175	309175,466075
220806,239144,451498	471140
471088,8426,8876	311992
854311	305159,507276,8585
200152,470972	1283896,200152
1353458,471163,560886,9148	251403,9070
469080,469081	167644,471601,471602,471603,8855
1140173,419381	1007944,1007945,166625
34294	41326,877478
200729,291414,8703	1124315,470984
236223,291414,8703	48666,517859,517860
802600	69436
132963,191178,314723,736748,9065	8873
453032,471486	31951,471486
153916,68011	153916,471090,68011,8936
381882,736796,964778	471392,471662,471667
179240,201102	242257,471558
232279,263647	255438,466981,517813
547292	220334
3443	8807,9006
200218,378859	160080,200218
9044	243673,81205
8906	47462
157842,379313,8873,9065	28067,379313,59733
1285168,160963,517855	163740,210087,264575
10012,302988	8595
45615	69436
166748,256770,492025,492545	471059,507436
41835,8855	257195,452137,8855
1305198	171660,466978
206875	479613
228166,47488	1139034,1329177,1453203,1453204,1453205,391629,47488,86883
893647	155239
327037	1241657,395685,518601
191265,191462	62267,62268
887080	68429,705715,8945
28067,465851,547867	1285,470938,889832
471074	471074
8426	8426
31951,453032	198213,517696
232172,64710	103336,232172,437405
147833,266303,470922	471471,473922,4850
1736992,397256	8426,8855,8954
1035013	291472
155921	155921
1021514,1029557,466232,475914	153380,964865
1060864,679969	267806,474220
337186,868712	359192,542834
506734	160194,252969,556015
133198,548374,548375	129505,357429
1857,191242,479472	130470
466242	1353542
157776,479627	331957,59635,66122,71629
311852	340128,71507
167644,471601,471602,471603,8855	1093622,206505
191431	191379,44383,8703
468145	124240
4358,470949	4358,467928,471032,471378
1064271,1325273,467299,468357	1064271,1064272,1064273,467299,467928,470974,470975,66129,8385
31143,471140,7765	471140,673280
1139133,1166	1166,368661,387961,86543
1139214	8585
1166,46781	471397,471398
166599,419846	166599
256886,517677	1124315,470984
487555,555773	166830
279946,8397	232162,4317,471324,81169
37514,8703	103336,232172,437405
66129	31951,705676
9300	8873,9065,9300
7444,750157	1009007,1064010,254039,437379,8179,92641
517835	45473
410972,473586	1386598,140766,905893
1240014,157491	200152,470972,852612
479702	191268
206875,465187,68395	13775,291680
315809	66170,8813
200371,92198	331887,667290
359192	471090,479362
384719,468134	44249,478106
469161	469161
471360	182221,20746
232172,353599	232172
1124277,330919,588564	28192
1087293,325452,655468	325452,35073,655468,667387
147833	147833,517780
168	161591
31557,31654,557589	30689
31951	4772
452868,467586	452868,467586
340011,466978	471555,964832
147833,471267	216369,434361,437405,437462,453014
1009007,1064010,254039,437379,8179,92641	239589,8179
242257,8945	164346,471251,475928
167644,8781	120368,471671
4358	187606,53014
293104,737025	483756,713607
32380,47663	191265,3804,397479,517743
1028062,240738	147833,736135
1314612,247204,384357	1314612,279526
211925,467727,470959,8906	1353225,303285
454411	354840
465472,8873	32436,8855
15420,506940,51556	150054,286057,453042,453043,453044
34471	1593,160884,2095
210157	210157,22633,240755,49784
471590	471360
1020699,468452	474220,517870,517871,8906
1078664,142274	191265,191462
122460,517818,517819	1308610,8595
17623	470881
147833,465663,479676	517649
356313,422276,452982,465160,467579,467580,467581,467583,467585,467591,470910,517735,517736,517737	8906
479314	246904,251571,771865,775378
472962,735871	479613
1175483,471638,679540	155271,232167,453006,471638,679540
464937,465760	381926
1737274	302208,471323
2049,655705,655729,656117	20222,206505
1063958,279858,8938	4358,705729
166747,792242	166747,812160
384832,469618	381962,468681
48665,94309	31971
47663	147833,470936
155271,1690787,4358,437367,503824,8488,8781	232162,279857,471323
242257,8945	298086,705718,81169,8945
1020699,468452	1336699,1336701,1353115
470957	8398,8924
211757,471403,492545	1064019,206871,466746
232279	453032
452973,65625	1064312,452973
236223	1138902,254039
1139159	1339410,9075
311852,468510	487907
103336,437405	103336,379315
474220	140570,93500
24016,535025	79324,8983
268969,280195,67878	4324,9109
105728,105729,359609,74650	105728,105729,74650
65692	14758,517655
517717,8562	517717,8562
198325	148004,326873
259859,437405	455785,9994
1186528,239589,254039,976253	1186528,239589,976253
293721	1577,466247
175243,471312	129346,1556199,20559
1087675,1233136,3879	155239
1525558,1525559,1525560,1525561,468887,675047	123623,153380,327037,338577,767786
1166,471398,889831	437399,7804
736487	244576
9300	451668,452961
243638,408499,601081	68538,818580
279858,471088	232167,279858,471088,471717
47488	47488
245435,471690	129505,4615
1680,24714,3443	1078445,294028,517772,8676
258680	471616,9109,912441
428391,736106	1064325,408498,408499
36485	1261069,1453120,1453121
437300	465668,465670
437413,452951	34481,983152
1020699,468452	302988
1353077,1353078,392363,4333,471159	4333,470898
471419,471562	156170,471560,471562
397388,484517,484518,484519,484520	2129,40887,875296
471531,81173	1407250,209306,32368
1141864,1141865	153549
359225,359227,369245,474226,502775,772052,78733,964885,964886	1284066,209961,467504
210004	210004,567822
47663	471638,483076
141080,466325	517754,649147
49646	8906,960833
470974,470975,66129	1063933,66129
341397	781214
341397	59635,71629
191289,251412,291112,381805,391218,466564,485126	62185
791932	298333,791932
154637	130470,949281
3443	3443,793733
49902	309213,8906
467299,468357	198201,465711
147833,216368,56884,687581	279946,9017
172773,191429	46437,668247
52889,989227	465668,465670
395094,471372	1554457,450775,471638
560902	471059,507436
289497,452152	303285
429728,47489,8873,8876	471088,8876
517854,8873	381941
1042690,1140534	1138036
178787,479377,479378	260331,337162,471671
232172,353599	471140
340968	232314
279858,559269,736484	291414,4615,512479,6722
1140435	309213,8906
517768	4507,704612
1360426,271989	305157,8509
1255298,1255433,361872,456376	338577,419378
321289	471470,62186
1091678,244974,794215	1063927,1063928,140868,140869,191342
474220,517870,517871,8906	8585
468616	1353107,8855
148004,517610,64604	244904,421212,470971,502604
182101,259624,279857,471065,471066	182101,259624,279857,471065,471066
1140176,232321,467433,654343	386267,471524,705723
471616,517665	1690853,471616,517665
468291	39583,64429,8807
1557603,429728	8873
31332	30510,957672
479687,479688	282404
1448665,466070	487527,81172
470875	1063979,1063980,468357
1641889,191865,73811	465668,465670
1020760,261649,301756	467648,47489
233547,45472,471309	8426
689040	470936
49178	49178
466564,485126	142238,484727,485126
303285,792069	305157,8509
466364,919449	4324
181719,300216,473676,87995	454516
191379,44383,8703	44383,503645,8703
1145,1353605,1353606,654243	1145,8397,8610
198201,465711,466774	1145
1140659	1124313,471007,679417
20757,470955	471088,8876
1283985,61537	381926,471455,537764
503357	503445
17623	286619,471384,679815
114,1863	518172,565146,9059
8385,8781	1101897,28914,77982
286097	17029,224753
559273	1439,65632
239144	9300
1028062,240738	1223682
379313	451668,452961
1554279,1554280	471360
1439,65629,65632	92666
232279	1690778,1690779,44359
147833,454516,47489	1138902,254039
3443	517626,9065
384710,471032	517853,8385,8781
157538,188363,28148	470938,8595
122460,736213	75611
160657,4850,8983	104,160657,1837
105312,740040	224753
46802	411369
537279	103336,1106787,318016,437405
465296,8906	105728,157729
1047682,105384,105385,776882	155758,161377,164346
471140	411369,479607,556120
134707,488799,9017	103336,9017
1126840,191236	2129,40887,875296
422141,422232	1353542
1139142,1139143	179665,242257,9062
1164765,309588	309588
429728	517609
191311,256564	279946,9017
1004370,226681,680275,73726,843668	1536846,502724,73726
471090	465668,465670
517792	517792
1139052,134713,1690529,8906	4306,470957,74227
465160,467580,467584,965248	8595
147569,64603,673134	379313
471360	333096,471360
130407,375078,794095	336504,6465
1283903,469252,875774	1251990,175140
253232,466861	437413,548774
397162	191309
327037	384515
1027314,1197377,65181	68429,705715,8945
1117294,1137986,686367	686367
517854,8873	205853,232279,471633
218640,46802	198302,367970
261649,437442,471563	261649,437442,471563
259624,279857,471065,471066,471280	1353129,303285
534843	302988
534565,9300	242937,794166
1028737	260104,395233,8595
237044	506940
256886,517677	1021416,481128
381840	302988
113323	4337,472962
470936,61578,8385	388880,471217,471616
15120,736086	1009986,15120
8781	4772
85703	157981
130469	130469,411369
340101,468221,736510,876753	465970
1805,454289	1805,454289,81618
792742	136609,193296
354047	165878,373221
632992	160657,230820,254179,4850,537327
9233	1063884,247611
1251670,166930,1748813	227283,293482
171660,243673	200728,200729,3443,451058
1549985,281520,377201	1435620,1549954,310820,310821
319990	587870,594104,683166
302903	466978,517720
147569	157842
147833,262606	232162
465296,471180,8906	221351,466825,8808
395233,8595	368178,4358
243673,81205	1556129,39649
179028	179028,32770,471003
1140535	32436
255438,466981,517813	8781,8906
379313	103336,217820,437405
384469	8945,968996
28067,8873	261649,437442,471563
1857	153549
5035	207882,297231
172379,95476	155460,340472,62326
1078138,1353236,431242,894456	1078138,536743
1793,422304,473380	102291,466483,81202,8813
11355,1348564,92666	11355,474298,556196,92666
353378,965272	772019
454710	339106,44331
237044,257195	160657,230820,254179,4850,537327
65181	471059,507436
191323	191323,199207,80636
157537,492801	466825,793813
484539	41326,877478
378859	1064386,160080,200218
659049	587485,659049
83838	154637
1321305,1353336,1353337,1353338,1353339,471351,488517,488933,660100	291414,47489,736484
18376,48675	153384,470936,470937,61578,8385
388880,4324	388880,4324,471217
471595,517816	298086,705718,81169,8945
381941	110161
471595,517816	705797,71608
470971,8873	9065
78782	4306,470957
517768	8873
465481	29983,705736,730660
352694,4307,465663	236346,352694,4613
233547	353774,66170
92420	191372,337186,468996,471147
1141803,467098	200728,200729,451058
466121	465668,465670
4306	470957,74227
237044,257195	160657,230820,254179,29959,4850,537327
1126751,1138083,437853,449209,484804,615287	647498
239207	471059,507436
1163459,184139,271309,473900	136609,193296
4333	470957,833499
147833,153916,736135	449617
1172472,237061	147833,279946,470936
8873,8876	429728,47489,8873,8876
464970	467299,8385,8595
47543,47544	1064319,1420
468556,517680	147833,352694
134009,1439,794537,794538,794539	134009,291414,8703
429728,534944,536554,9300	1520,191268
149,261649,261749,668936	28901
1255362,375078,479449	465668,465670
451618	341208,449616,466131
8873	1063958,28,454289
157842,28067	78676
8595	124906,163740,264575
4498,89709	89709
443391,517831	302988,517662,517663
1020081,240656,32722,481204	240479,402557
